"","country","year","pop","continent","lifeExp","gdpPercap"
"35","Algeria",2002,31287142,"Africa",70.994,5288.040382
"47","Angola",2002,10866106,"Africa",41.003,2773.287312
"131","Benin",2002,7026113,"Africa",54.406,1372.877931
"167","Botswana",2002,1630347,"Africa",46.634,11003.60508
"203","Burkina Faso",2002,12251209,"Africa",50.65,1037.645221
"215","Burundi",2002,7021078,"Africa",47.36,446.4035126
"239","Cameroon",2002,15929988,"Africa",49.856,1934.011449
"263","Central African Republic",2002,4048013,"Africa",43.308,738.6906068
"275","Chad",2002,8835739,"Africa",50.525,1156.18186
"323","Comoros",2002,614382,"Africa",62.974,1075.811558
"335","Congo Dem. Rep.",2002,55379852,"Africa",44.966,241.1658765
"347","Congo Rep.",2002,3328795,"Africa",52.97,3484.06197
"371","Cote d'Ivoire",2002,16252726,"Africa",46.832,1648.800823
"431","Djibouti",2002,447416,"Africa",53.373,1908.260867
"467","Egypt",2002,73312559,"Africa",69.806,4754.604414
"491","Equatorial Guinea",2002,495627,"Africa",49.348,7703.4959
"503","Eritrea",2002,4414865,"Africa",55.24,765.3500015
"515","Ethiopia",2002,67946797,"Africa",50.725,530.0535319
"551","Gabon",2002,1299304,"Africa",56.761,12521.71392
"563","Gambia",2002,1457766,"Africa",58.041,660.5855997
"587","Ghana",2002,20550751,"Africa",58.453,1111.984578
"623","Guinea",2002,8807818,"Africa",53.676,945.5835837
"635","Guinea-Bissau",2002,1332459,"Africa",45.504,575.7047176
"827","Kenya",2002,31386842,"Africa",50.992,1287.514732
"887","Lesotho",2002,2046772,"Africa",44.593,1275.184575
"899","Liberia",2002,2814651,"Africa",43.753,531.4823679
"911","Libya",2002,5368585,"Africa",72.737,9534.677467
"923","Madagascar",2002,16473477,"Africa",57.286,894.6370822
"935","Malawi",2002,11824495,"Africa",45.009,665.4231186
"959","Mali",2002,10580176,"Africa",51.818,951.4097518
"971","Mauritania",2002,2828858,"Africa",62.247,1579.019543
"983","Mauritius",2002,1200206,"Africa",71.954,9021.815894
"1031","Morocco",2002,31167783,"Africa",69.615,3258.495584
"1043","Mozambique",2002,18473780,"Africa",44.026,633.6179466
"1067","Namibia",2002,1972153,"Africa",51.479,4072.324751
"1127","Niger",2002,11140655,"Africa",54.496,601.0745012
"1139","Nigeria",2002,119901274,"Africa",46.608,1615.286395
"1271","Reunion",2002,743981,"Africa",75.744,6316.1652
"1295","Rwanda",2002,7852401,"Africa",43.413,785.6537648
"1307","Sao Tome and Principe",2002,170372,"Africa",64.337,1353.09239
"1331","Senegal",2002,10870037,"Africa",61.6,1519.635262
"1355","Sierra Leone",2002,5359092,"Africa",41.012,699.489713
"1403","Somalia",2002,7753310,"Africa",45.936,882.0818218
"1415","South Africa",2002,44433622,"Africa",53.365,7710.946444
"1451","Sudan",2002,37090298,"Africa",56.369,1993.398314
"1463","Swaziland",2002,1130269,"Africa",43.869,4128.116943
"1523","Tanzania",2002,34593779,"Africa",49.651,899.0742111
"1547","Togo",2002,4977378,"Africa",57.561,886.2205765
"1571","Tunisia",2002,9770575,"Africa",73.042,5722.895655
"1595","Uganda",2002,24739869,"Africa",47.813,927.7210018
"1691","Zambia",2002,10595811,"Africa",39.193,1071.613938
"1703","Zimbabwe",2002,11926563,"Africa",39.989,672.0386227
